Дата;Подразделение;Наименование работы;Объем выполненной работы;Место выполненных работ (станция/перегон);№ объекта
05.01.2021;13;струны;1;Красноярск;
05.01.2021;13;КС-046;1;Красноярск;
07.01.2021;13;с/и регулировка;1;Красноярск;41
07.01.2021;13;в/стр бок регулировка;1;Красноярск;87
11.01.2021;9;РКУ замена ;2;Косачи;
11.01.2021;9;РКУ замена ;4;Косачи;
11.01.2021;9;в/стр гл регулировка;1;Козулька;4
11.01.2021;9;в/стр гл регулировка;1;Козулька;17
11.01.2021;9;м/р ревизия ;1;Козулька;П46
11.01.2021;46;в/стр гл регулировка;1;Красноярск-Северный;2
11.01.2021;46;в/стр гл регулировка;1;Красноярск-Северный;14
11.01.2021;46;в/стр гл регулировка;1;Красноярск-Северный;24
11.01.2021;46;в/стр бок регулировка;1;Красноярск-Северный;40
11.01.2021;46;ОФ замена ;1;Бугач;
11.01.2021;46;в/стр бок регулировка;1;Бугач;36
11.01.2021;46;КС-046;1;Бугач;
11.01.2021;46;КС-054;1;Бугач;
11.01.2021;46;ФСПКР;1;Бугач;
12.01.2021;9;ШС-10;1;Козулька;
12.01.2021;9;ШС-10;2;Козулька;
12.01.2021;10;ИП проверка;54;Кемчуг;
12.01.2021;10;ИП замена;3;Кемчуг;
12.01.2021;10;ДРВ;2;Кемчуг;
12.01.2021;46;Котлован;1;Бугач-Красноярск;
12.01.2021;14;ФСПКР;2;Дивногорск - Красноярские Столбы;
12.01.2021;14;КС-049;2;Дивногорск - Красноярские Столбы;
12.01.2021;14;КС-048;2;Дивногорск - Красноярские Столбы;
12.01.2021;14;КС-046;3;Дивногорск - Красноярские Столбы;
12.01.2021;15;ТР гл;150;Базаиха - Зыково;26-32
12.01.2021;15;ОФ замена ;1;Базаиха - Зыково;
12.01.2021;15;КС-109;1;Базаиха - Зыково;
12.01.2021;15;КС-049;1;Базаиха - Зыково;
12.01.2021;15;ПС-70;3;Базаиха - Зыково;
12.01.2021;47;в/стр бок регулировка;1;Красноярск-Восточный;15
12.01.2021;47;с/и регулировка;1;Красноярск-Восточный;7
12.01.2021;47;КС-049;3;Красноярск-Восточный;
13.01.2021;9;м/р ревизия ;1;Малиногорка;Г
13.01.2021;10;ТР гл;200;Кемчуг;257-265
13.01.2021;10;КС-109;1;Кемчуг;
13.01.2021;10;КС-117;1;Кемчуг;
13.01.2021;10;КС-049;1;Кемчуг;
13.01.2021;10;струны;8;Кемчуг;
13.01.2021;10;КС-046;4;Кемчуг;
13.01.2021;10;подстраховок;6;Кемчуг;
13.01.2021;10;ФСПКР;3;Кемчуг;
13.01.2021;12;в/п ревизия;1;Минино;А
13.01.2021;12;м/р ревизия ;1;Минино;А
13.01.2021;12;ДРВ;2;Минино;
13.01.2021;12;ДРЛ;1;Минино;
13.01.2021;12;ОПН;2;Минино;
13.01.2021;13;КТППО демонтаж;1;Красноярск;
13.01.2021;47;ТР гл;100;Красноярск-Северный - Красноярск-Восточный;633-635
14.01.2021;9;ДРЛ;12;Козулька;
14.01.2021;10;в/стр бок регулировка;1;Кемчуг;16
14.01.2021;10;в/стр гл регулировка;1;Кемчуг;7
14.01.2021;10;ТР гл;100;Кемчуг;86-90
14.01.2021;10;ТР гл;50;Кемчуг;46-48
14.01.2021;10;КС-053;1;Кемчуг;
14.01.2021;10;КС-046;1;Кемчуг;
14.01.2021;10;струны;4;Кемчуг;
14.01.2021;46;ФСПКР;8;Красноярск-Северный - Бугач;
14.01.2021;13;в/стр бок регулировка;1;Красноярск;166
14.01.2021;13;в/стр бок регулировка;1;Красноярск;87
14.01.2021;13;м/р ревизия ;1;Красноярск;П1
14.01.2021;14;ПБСМ;3;Дивногорск - Красноярские Столбы;
14.01.2021;14;КС-054;6;Дивногорск - Красноярские Столбы;
14.01.2021;14;ФСПКР;8;Дивногорск - Красноярские Столбы;
14.01.2021;15;с/и регулировка;1;Злобино;18
14.01.2021;15;КС-046;1;Злобино;
14.01.2021;15;в/стр бок регулировка;1;Базаиха;20
14.01.2021;15;в/стр бок регулировка;1;Базаиха;26
14.01.2021;15;в/стр бок регулировка;1;Базаиха;30
14.01.2021;15;в/стр бок регулировка;1;Базаиха;32
14.01.2021;15;в/стр бок регулировка;1;Базаиха;34
